"data","confirmados","confirmados_novos","recuperados","obitos","vigilancia","ativos"
"2020-03-02",2,2,0,0,0,2
"2020-03-03",4,2,0,0,0,4
"2020-03-04",6,2,0,0,81,6
"2020-03-05",9,3,0,0,213,9
"2020-03-06",13,4,0,0,354,13
"2020-03-07",21,8,0,0,412,21
"2020-03-08",30,9,0,0,447,30
"2020-03-09",39,9,0,0,496,39
"2020-03-10",41,2,0,0,667,41
"2020-03-11",59,18,0,0,3066,59
"2020-03-12",78,19,0,0,4923,78
"2020-03-13",112,34,0,0,5674,112
"2020-03-14",169,57,1,0,5011,168
"2020-03-15",245,76,2,0,4592,243
"2020-03-16",331,86,3,0,4592,328
"2020-03-17",448,117,3,1,6852,444
"2020-03-18",642,194,3,1,6656,638
"2020-03-19",785,143,3,3,8091,779
"2020-03-20",1020,235,5,6,9008,1009
"2020-03-21",1280,260,5,12,13155,1263
"2020-03-22",1600,320,5,14,12562,1581
"2020-03-23",2060,460,14,23,11842,2023
"2020-03-24",2362,302,22,33,11842,2307
"2020-03-25",2995,633,22,43,13624,2930
"2020-03-26",3544,549,43,60,14994,3441
"2020-03-27",4268,724,43,76,19816,4149
"2020-03-28",5170,902,43,100,19927,5027
"2020-03-29",5962,792,43,119,17785,5800
"2020-03-30",6408,446,43,140,11482,6225
"2020-03-31",7443,1035,43,160,19260,7240
"2020-04-01",8251,808,43,187,20275,8021
"2020-04-02",9034,783,68,209,21798,8757
"2020-04-03",9886,852,68,246,22556,9572
"2020-04-04",10524,638,75,266,22858,10183
"2020-04-05",11278,754,75,295,23209,10908
"2020-04-06",11730,452,140,311,23470,11279
"2020-04-07",12442,712,184,345,25070,11913
"2020-04-08",13141,699,196,380,24481,12565
"2020-04-09",13956,815,205,409,24708,13342
"2020-04-10",15472,1516,233,435,25914,14804
"2020-04-11",15987,515,266,470,25432,15251
"2020-04-12",16585,598,277,504,25041,15804
"2020-04-13",16934,349,277,535,26989,16122
"2020-04-14",17448,514,347,567,23265,16534
"2020-04-15",18091,643,383,599,26144,17109
"2020-04-16",18841,750,493,629,26065,17719
"2020-04-17",19022,181,519,657,25456,17846
"2020-04-18",19685,663,610,687,25456,18388
"2020-04-19",20206,521,610,714,27947,18882
"2020-04-20",20863,657,610,735,30805,19518
"2020-04-21",21379,516,917,762,30646,19700
"2020-04-22",21982,603,1143,785,30646,20054
"2020-04-23",22353,371,1201,820,30342,20332
"2020-04-24",22797,444,1228,854,29621,20715
"2020-04-25",23271,474,1277,880,29932,21114
"2020-04-26",23683,412,1329,903,30453,21451
"2020-04-27",23846,163,1357,928,30703,21561
"2020-04-28",24141,295,1389,948,29559,21804
"2020-04-29",24324,183,1470,973,29568,21881
"2020-04-30",24692,368,1519,989,29467,22184
"2020-05-01",24987,295,1647,1007,29756,22333
"2020-05-02",25190,203,1671,1023,27895,22496
"2020-05-03",25282,92,1689,1043,25324,22550
"2020-05-04",25524,242,1712,1063,25081,22749
"2020-05-05",25702,178,1743,1074,25066,22885
"2020-05-06",26182,480,2076,1089,24579,23017
"2020-05-07",26715,533,2258,1105,27318,23352
"2020-05-08",27268,553,2422,1114,26829,23732
"2020-05-09",27406,138,2499,1126,26667,23781
"2020-05-10",27581,175,2549,1135,26344,23897
"2020-05-11",27679,98,2549,1144,28307,23986
"2020-05-12",27913,234,3013,1163,27054,23737
"2020-05-13",28132,219,3182,1175,26278,23775
"2020-05-14",28319,187,3198,1184,26082,23937
"2020-05-15",28583,264,3328,1190,25792,24065
"2020-05-16",28810,227,3822,1203,25419,23785
"2020-05-17",29036,226,4636,1218,25640,23182
"2020-05-18",29209,173,6430,1231,25360,21548
"2020-05-19",29432,223,6431,1247,25487,21754
"2020-05-20",29660,228,6452,1263,25281,21945
"2020-05-21",29912,252,6452,1277,22741,22183
"2020-05-22",30200,288,7590,1289,26198,21321
"2020-05-23",30471,271,7705,1302,26130,21464
"2020-05-24",30623,152,17549,1316,26328,11758
"2020-05-25",30788,165,17822,1330,26449,11636
"2020-05-26",31007,219,18096,1342,26392,11569
"2020-05-27",31292,285,18349,1356,27141,11587
"2020-05-28",31596,304,18637,1369,27563,11590
"2020-05-29",31946,350,18911,1383,27917,11652
"2020-05-30",32203,257,19186,1396,28183,11621
"2020-05-31",32500,297,19409,1410,27924,11681
"2020-06-01",32700,200,19552,1424,27958,11724
"2020-06-02",32895,195,19869,1436,28064,11590
"2020-06-03",33261,366,20079,1447,28093,11735
"2020-06-04",33592,331,20323,1455,28685,11814
"2020-06-05",33969,377,20526,1465,28088,11978
"2020-06-06",34351,382,20807,1474,29013,12070
"2020-06-07",34693,342,20995,1479,29312,12219
"2020-06-08",34885,192,21156,1485,28791,12244
"2020-06-09",35306,421,21339,1492,30176,12475
