"data","vaccinated_daily","booster_daily"
"2020-12-27",0,0
"2020-12-28",0,0
"2020-12-29",0,0
"2020-12-30",0,0
"2020-12-31",0,0
"2021-01-01",0,0
"2021-01-02",0,0
"2021-01-03",0,0
"2021-01-04",0,0
"2021-01-05",0,0
"2021-01-06",0,0
"2021-01-07",0,0
"2021-01-08",0,0
"2021-01-09",0,0
"2021-01-10",0,0
"2021-01-11",138,0
"2021-01-12",0,0
"2021-01-13",0,0
"2021-01-14",0,0
"2021-01-15",0,0
"2021-01-16",0,0
"2021-01-17",1161,0
"2021-01-18",115,0
"2021-01-19",7618,0
"2021-01-20",9175,0
"2021-01-21",4974,0
"2021-01-22",2404,0
"2021-01-23",4040,0
"2021-01-24",517,0
"2021-01-25",0,0
"2021-01-26",0,0
"2021-01-27",0,0
"2021-01-28",0,0
"2021-01-29",0,0
"2021-01-30",34908,0
"2021-01-31",2924,0
"2021-02-01",12514,0
"2021-02-02",1943,0
"2021-02-03",5157,0
"2021-02-04",9123,0
"2021-02-05",9941,0
"2021-02-06",8870,0
"2021-02-07",740,0
"2021-02-08",1910,0
"2021-02-09",1442,0
"2021-02-10",10504,0
"2021-02-11",16519,0
"2021-02-12",24526,0
"2021-02-13",27090,0
"2021-02-14",9836,0
"2021-02-15",10036,0
"2021-02-16",5586,0
"2021-02-17",6032,0
"2021-02-18",7953,0
"2021-02-19",12704,0
"2021-02-20",12954,0
"2021-02-21",3504,0
"2021-02-22",2345,0
"2021-02-23",1724,0
"2021-02-24",2221,0
"2021-02-25",3489,0
"2021-02-26",3092,0
"2021-02-27",5456,0
"2021-02-28",1285,0
"2021-03-01",4167,0
"2021-03-02",1350,0
"2021-03-03",1665,0
"2021-03-04",5033,0
"2021-03-05",5809,0
"2021-03-06",8607,0
"2021-03-07",4153,0
"2021-03-08",7608,0
"2021-03-09",2178,0
"2021-03-10",1906,0
"2021-03-11",8998,0
"2021-03-12",14303,0
"2021-03-13",13472,0
"2021-03-14",5365,0
"2021-03-15",6380,0
"2021-03-16",3015,0
"2021-03-17",5947,0
"2021-03-18",21897,0
"2021-03-19",33353,0
"2021-03-20",27975,0
"2021-03-21",12910,0
"2021-03-22",5675,0
"2021-03-23",7632,0
"2021-03-24",2072,0
"2021-03-25",3607,0
"2021-03-26",4504,0
"2021-03-27",2456,0
"2021-03-28",1518,0
"2021-03-29",1070,0
"2021-03-30",2628,0
"2021-03-31",3596,0
"2021-04-01",9707,0
"2021-04-02",42048,0
"2021-04-03",16756,0
"2021-04-04",7123,0
"2021-04-05",3727,0
